Time;Location
10/07/03 18:19;46.6666425,24.8353205
10/07/03 18:19;46.666641,24.835324
10/07/03 18:19;46.6666385,24.8353318
10/07/03 18:19;46.6666367,24.8353373
10/07/03 18:19;46.666635,24.8353428
10/07/03 18:19;46.6666333,24.8353477
10/07/03 18:18;46.6666328,24.8353498
10/07/03 18:18;46.6666303,24.8353583
10/07/03 18:18;46.6666288,24.8353638
10/07/03 18:18;46.6666268,24.8353702
10/07/03 18:18;46.6666235,24.835382
10/07/03 18:18;46.666621,24.8353897
10/07/03 18:18;46.6666183,24.8353977
10/07/03 18:18;46.6666153,24.8354077
10/07/03 18:18;46.6666097,24.835428
10/07/03 18:18;46.6666057,24.835441199999998
10/07/03 18:18;46.666601299999996,24.8354565
10/07/03 18:18;46.6665982,24.835466
10/07/03 18:18;46.6665925,24.8354855
10/07/03 18:18;46.6665902,24.8354942
10/07/03 18:18;46.6665858,24.8355077
10/07/03 18:18;46.666581,24.8355233
10/07/03 18:18;46.6665762,24.8355383
10/07/03 18:18;46.6665667,24.835568
10/07/03 18:18;46.6665602,24.8355878
10/07/03 18:18;46.6665585,24.8355912
10/07/03 18:18;46.6665563,24.8355955
10/07/03 18:18;46.6665527,24.8356033
10/07/03 18:18;46.666552,24.8356042
10/07/03 18:18;46.6665517,24.8356028
10/07/03 18:18;46.6665548,24.8355895
10/07/03 18:18;46.6665597,24.8355667
10/07/03 18:18;46.6665637,24.8355507
10/07/03 18:18;46.6665678,24.8355338
10/07/03 18:18;46.666571,24.8355188
10/07/03 18:18;46.6665747,24.8355025
10/07/03 18:18;46.6665878,24.835454
10/07/03 18:18;46.6665938,24.8354312
10/07/03 18:18;46.6666007,24.8354063
10/07/03 18:18;46.6666128,24.8353653
10/07/03 18:18;46.6666378,24.8352802
10/07/03 18:18;46.6666478,24.8352468
10/07/03 18:18;46.6666547,24.8352215
10/07/03 18:18;46.6666655,24.8351857
10/07/03 18:18;46.6666733,24.8351643
10/07/03 18:18;46.6666718,24.8351697
10/07/03 18:18;46.6666728,24.8351687
10/07/03 18:18;46.6666688,24.8351807
10/07/03 18:18;46.666667,24.8351855
10/07/03 18:18;46.6666667,24.8351863
10/07/03 18:18;46.6666688,24.8351797
10/07/03 18:18;46.6666683,24.8351822
10/07/03 18:18;46.6666692,24.8351802
10/07/03 18:18;46.6666703,24.8351778
10/07/03 18:17;46.6666717,24.8351742
10/07/03 18:17;46.6666735,24.8351717
10/07/03 18:17;46.6666753,24.8351673
10/07/03 18:17;46.666677,24.8351635
10/07/03 18:17;46.666679,24.8351598
10/07/03 18:17;46.6666798,24.8351605
10/07/03 18:17;46.6666805,24.8351625
10/07/03 18:17;46.6666795,24.8351672
10/07/03 18:17;46.6666813,24.835164
10/07/03 18:17;46.6666867,24.8351497
10/07/03 18:17;46.666688,24.8351467
10/07/03 18:17;46.6666893,24.835144
10/07/03 18:17;46.6666902,24.8351423
10/07/03 18:17;46.6666913,24.8351402
10/07/03 18:17;46.6666915,24.8351402
10/07/03 18:17;46.66669,24.835145699999998
10/07/03 18:17;46.6666913,24.8351418
10/07/03 18:17;46.6666938,24.8351352
10/07/03 18:17;46.6666968,24.8351275
10/07/03 18:17;46.6666978,24.8351267
10/07/03 18:17;46.6666973,24.8351283
10/07/03 18:17;46.6666965,24.8351295
